REFNUM,town,County,Postcode,Region,job_function,Job_role_desc,Job_level_desc,Employee_desc,Turnover_desc,SIC_desc,sic_division_desc,sic_section_desc,business_class_desc,REF
emb2b_31596801,ROCHDALE,Lancashire,OL12 8HP,England North West,Group Financial Accountant And Controller; Finance;,Financial,Partner,K:1500-4999,O:251M-500M,32120 - Manufacture of jewellery and related articles; 46480 - Wholesale of watches and jewellery; 47770 - Retail sale of watches and jewellery in specialised stores,32 - Other manufacturing; 46 - Wholesale trade / except of motor vehicles / motorcycles; 47 - Retail trade / except of motor vehicles / motorcycles,C - Manufacturing; G - Wholesale and retail trade; repair of motor vehicles and motorcycles; G - Wholesale and retail trade; repair of motor vehicles and motorcycles,Jewellers (E2457),Project CRV2
emb2b_31596802,SOUTHSEA,Hampshire,PO4 8BF,England South East,Designer; Design;,Design,Director,B:6-9,H:5.1M-7.5M,62090 - Other information technology service activities,62 - Computer programming / consultancy / related activities,J - Information and Communications,Design Consultants (E2916),Project CRV2
emb2b_31596804,LONDON,London,EC3V 1LP,England London,Agile Pmo Analyst; Finance;,Financial,Partner,F:100-199,J:11M-20M,65120 - Non-life insurance,65 - Insurance / reinsurance / pension funding / except compulsory social security,K - Financial and Insurance Activities,Insurance Services (E1549),Project CRV2
emb2b_31596806,LEEDS,West Yorkshire,LS2 9NG,England North East,Associate Creative Director; Design;,Design,Director,A:1-5,D:501k-750k,73120 - Media representation services,73 - Advertising and market research,M - Professional / Scientific / Technical Activities,Advertising Services (E1598),Project CRV2
emb2b_31596808,HEMEL HEMPSTEAD,Hertfordshire,HP2 7EA,England South East,Head Of Brand Design; Design; Director;,Design,Director,I:500-999,L:51M-75M,25990 - Manufacture of other fabricated metal products n.e.c.,25 - Manufacture of fabricated metal products / except machinery / equipment,C - Manufacturing,Retail Services (E3185),Project CRV2
emb2b_31596811,LONDON,London,W14 8HQ,England London,Efl Teacher; Education;,Academia,CxO,E:50-99,H:5.1M-7.5M,85410 - Post-secondary non-tertiary education,85 - Education,P - Education,Educational Services (E1619),Project CRV2
emb2b_31596815,LONDON,London,EC4M 9AD,England London,Head Of London Research Production; Supervisory Analyst; Executive Director; Education; Director;,Academia,Director,I:500-999,O:251M-500M,64991 - Security dealing on own account,64 - Financial service activities / except insurance / pension funding,K - Financial and Insurance Activities,Banks And Other Financial Institutions (E2152),Project CRV2
emb2b_31596816,LONDON,London,SW18 1DB,England London,Research Executive; Education;,Academia,CxO,G:200-349,J:11M-20M,##### - Unclassified,## - Unclassified,# - Unclassified,Market Research (E1295),Project CRV2
emb2b_31596819,NEWMARKET,Suffolk,CB8 7NU,England East Midlands,Workplace Instructor; Education;,Academia,CxO,D:20-49,G:2.1M-5M,##### - Unclassified,## - Unclassified,# - Unclassified,Educational Services (E1619),Project CRV2
emb2b_31596820,OXFORD,Oxfordshire,OX3 0BN,England South East,Chemistry Teacher; Education;,Academia,CxO,F:100-199,J:11M-20M,85100 - Pre-primary education; 85200 - Primary education; 85310 - General secondary education,85 - Education; 85 - Education; 85 - Education,P - Education; P - Education; P - Education,Educational Services (E1619),Project CRV2
emb2b_31596822,LEEDS,West Yorkshire,LS1 4PR,England North East,Research Assistant; Education;,Academia,CxO,I:500-999,J:11M-20M,85600 - Educational support services,85 - Education,P - Education,Computer Systems And Software (development) (E1005),Project CRV2
emb2b_31596825,GLASGOW,Lanarkshire,G74 1LL,Scotland Central West,Asset Manager; Finance; Manager;,Financial,Manager,L:5000-9999,Q:1B+,41100 - Development of building projects; 64209 - Activities of other holding companies n.e.c.,41 - Construction of buildings; 64 - Financial service activities / except insurance / pension funding,F - Construction; K - Financial and Insurance Activities,Estate Agents And Property Buyers (E2550),Project CRV2
emb2b_31596827,PERSHORE,Worcestershire,WR10 3DA,England West Midlands,Maths Teacher; Education;,Academia,CxO,D:20-49,H:5.1M-7.5M,85600 - Educational support services,85 - Education,P - Education,Educational Services (E1619),Project CRV2
emb2b_31596828,BELFAST,County Antrim,BT7 2FF,Northern Ireland,Research Fellow; Education;,Academia,CxO,B:6-9,H:5.1M-7.5M,##### - Unclassified,## - Unclassified,# - Unclassified,Research Organisations (E2139),Project CRV2
emb2b_31596829,LONDON,London,E1 8QN,England London,Financial Controller; Finance;,Financial,Partner,D:20-49,H:5.1M-7.5M,74909 - Other professional / scientific / technical activities n.e.c.,74 - Other professional / scientific / technical activities,M - Professional / Scientific / Technical Activities,Information Technology And Services (E3183),Project CRV2
emb2b_31596830,EDINBURGH,Midlothian,EH7 4ZD,Scotland Central East,Creative Direction; Design;,Design,Director,C:10-19,H:5.1M-7.5M,73110 - Advertising agencies,73 - Advertising and market research,M - Professional / Scientific / Technical Activities,Advertising Services (E1598),Project CRV2
emb2b_31596834,CAMBRIDGE,Cambridgeshire,CB22 3AT,England East Midlands,Principal Research Associate; Education;,Academia,CxO,E:50-99,K:21M-50M,72110 - Research and experimental development on biotechnology,72 - Scientific research and development,M - Professional / Scientific / Technical Activities,Biotechnology (E3186),Project CRV2
emb2b_31596837,NOTTINGHAM,Nottinghamshire,NG10 4AD,England East Midlands,Teacher; Education;,Academia,CxO,F:100-199,K:21M-50M,85200 - Primary education; 85310 - General secondary education,85 - Education; 85 - Education,P - Education; P - Education,Educational Services (E1619),Project CRV2
emb2b_31596840,CRAWLEY,West Sussex,RH10 1UZ,England South East,Accounts Receivable Assistant; Finance;,Financial,Partner,C:10-19,F:1.1M-2M,##### - Unclassified,## - Unclassified,# - Unclassified,Local Government (E3042),Project CRV2
emb2b_31596842,LONDON,London,EC4N 6NP,England London,Finance Director; Finance; Director;,Financial,Director,A:1-5,C:201k-500k,61200 - Wireless telecommunications activities; 62090 - Other information technology service activities,61 - Telecommunications; 62 - Computer programming / consultancy / related activities,J - Information and Communications; J - Information and Communications,Telecommunication Services (E1632),Project CRV2
emb2b_31596848,CORSHAM,Wiltshire,SN13 9UQ,England South West,Freelance Graphic Designer; Design;,Design,Director,A:1-5,C:201k-500k,71111 - Architectural activities,71 - Architectural and engineering activities; technical testing and analysis,M - Professional / Scientific / Technical Activities,Designers - Graphic (E1016),Project CRV2
emb2b_31596850,LONDON,London,EC3M 3BD,England London,Freelance Creative; Design;,Design,Director,G:200-349,K:21M-50M,73110 - Advertising agencies,73 - Advertising and market research,M - Professional / Scientific / Technical Activities,Advertising Services (E1598),Project CRV2
emb2b_31596851,GLASGOW,Lanarkshire,G2 2LW,Scotland Central West,Investment Director; Finance; Director;,Financial,Director,D:20-49,G:2.1M-5M,##### - Unclassified,## - Unclassified,# - Unclassified,Financial Services (E1616),Project CRV2
emb2b_31596853,TELFORD,Shropshire,TF1 6QJ,England West Midlands,Associate Presso Design4structures; Design;,Design,Director,C:10-19,H:5.1M-7.5M,71111 - Architectural activities,71 - Architectural and engineering activities; technical testing and analysis,M - Professional / Scientific / Technical Activities,Architectural Services (E1621),Project CRV2
emb2b_31596858,LONDON,London,EC3N 2LB,England London,Head Of Regional Accounting; Finance; Director;,Financial,Director,K:1500-4999,N:100M-250M,77320 - Renting and leasing of construction and civil engineering machinery and equipment,77 - Rental and leasing activities,N - Administrative and Support Service Activities,Energy Companies (E3184),Project CRV2
emb2b_31596859,CRAMLINGTON,Northumberland,NE23 1WG,England North East,Management Accountant; Finance;,Financial,Manager,A:1-5,H:5.1M-7.5M,26110 - Manufacture of electronic components,26 - Manufacture of computer / electronic / optical products,C - Manufacturing,Electricity Companies (E1802),Project CRV2
emb2b_31596860,LONDON,London,N1 6NU,England London,Content Creative; Design;,Design,Director,G:200-349,J:11M-20M,73110 - Advertising agencies,73 - Advertising and market research,M - Professional / Scientific / Technical Activities,Advertising - Media (E1009),Project CRV2
emb2b_31596865,LONDON,London,SE1 9SG,England London,Associate Director - Senior Accountancy And Finance; Finance; Senior;,Financial,Senior Staff,E:50-99,I:7.6M-10M,78109 - Other activities of employment placement agencies,78 - Employment activities,N - Administrative and Support Service Activities,Employment And Recruitment Agencies (E1723),Project CRV2
emb2b_31596868,BRISTOL,Avon,BS3 3EU,England South West,Graduate User Experience Consultant; Design;,Design,Director,H:350-499,G:2.1M-5M,62090 - Other information technology service activities,62 - Computer programming / consultancy / related activities,J - Information and Communications,Internet Services (E1662),Project CRV2
emb2b_31596869,LONDON,London,SE1 8UL,England London,Uk Commercial Finance Manager; Finance; Manager;,Financial,Manager,I:500-999,N:100M-250M,70100 - Activities of head offices,70 - Activities of head offices; management consultancy activities,M - Professional / Scientific / Technical Activities,Estate Agents And Property Buyers (E2550),Project CRV2
emb2b_31596870,NOTTINGHAM,Nottinghamshire,NG1 5GG,England East Midlands,Accounts Payable Manager; Finance; Manager;,Financial,Manager,G:200-349,K:21M-50M,##### - Unclassified,## - Unclassified,# - Unclassified,Legal Services (E1615),Project CRV2
emb2b_31596873,ST AUSTELL,Cornwall,PL26 7NN,England South West,Financial Assistant; Finance;,Financial,Partner,M:10000+,O:251M-500M,11050 - Manufacture of beer; 46342 - Wholesale of wine / beer / spirits / other alcoholic beverages; 56302 - Public houses and bars,11 - Manufacture of beverages; 46 - Wholesale trade / except of motor vehicles / motorcycles; 56 - Food and beverage service activities,C - Manufacturing; G - Wholesale and retail trade; repair of motor vehicles and motorcycles; I - Accommodation and Food Service Activities,Food Consultants And Technologists (E2986),Project CRV2
emb2b_31596874,BELFAST,County Antrim,BT1 5EF,Northern Ireland,Technical Designer; Design;,Design,Director,D:20-49,K:21M-50M,58210 - Publishing of computer games,58 - Publishing activities,J - Information and Communications,Computer Games (E1872),Project CRV2
emb2b_31596875,MALVERN,Worcestershire,WR14 2LL,England West Midlands,Finance Manager; Finance; Manager;,Financial,Manager,G:200-349,K:21M-50M,29100 - Manufacture of motor vehicles,29 - Manufacture of motor vehicles / trailers / semi-trailers,C - Manufacturing,Car Accessories And Parts (E2970),Project CRV2
emb2b_31596876,LONDON,London,EC1M 4BS,England London,Teacher; Education;,Academia,CxO,E:50-99,I:7.6M-10M,85310 - General secondary education,85 - Education,P - Education,Educational Services (E1619),Project CRV2
emb2b_31596879,WIRRAL,Merseyside,CH49 9DL,England North West,Teacher Of Pe And Head Of Year; Education; Director;,Academia,Director,A:1-5,D:501k-750k,85310 - General secondary education,85 - Education,P - Education,Schools - Local Authority (E3153),Project CRV2
emb2b_31596880,EDINBURGH,Midlothian,EH3 7AL,Scotland Central East,Dealer And Investment Administrator; Finance;,Financial,Partner,D:20-49,G:2.1M-5M,66300 - Fund management activities,66 - Activities auxiliary to financial services and insurance activities,K - Financial and Insurance Activities,Financial Services (E1616),Project CRV2
emb2b_31596882,KEIGHLEY,West Yorkshire,BD21 4DG,England North West,Graphic Artist; Design;,Design,Director,F:100-199,J:11M-20M,22220 - Manufacture of plastic packing goods,22 - Manufacture of rubber and plastic products,C - Manufacturing,Packaging And Wrapping Equipment And Supplies (E1750),Project CRV2
emb2b_31596883,NORWICH,Norfolk,NR1 1NJ,England East Midlands,Financial Planning Assistant; Finance;,Financial,Partner,F:100-199,J:11M-20M,70100 - Activities of head offices,70 - Activities of head offices; management consultancy activities,M - Professional / Scientific / Technical Activities,Insurance Services (E1549),Project CRV2
emb2b_31596885,LOUGHTON,Essex,IG10 3TS,England Greater London,Designer; Design;,Design,Director,C:10-19,F:1.1M-2M,43999 - Other specialised construction activities n.e.c.,43 - Specialised construction activities,F - Construction,Computer Manufacturers (E2639),Project CRV2
emb2b_31596886,LONDON,London,EC1Y 1AX,England London,Finance Officer; Finance;,Financial,Partner,D:20-49,G:2.1M-5M,##### - Unclassified,## - Unclassified,# - Unclassified,Solicitors & Law Practices (E2782),Project CRV2
emb2b_31596888,STIRLING,Stirlingshire,FK8 2HX,Scotland Central West,Co-Founder And Creative Director; Design; Director;Owner;,Design,Director,D:20-49,J:11M-20M,90030 - Artistic creation,90 - Creative / arts / entertainment activities,R - Arts / Entertainment / Recreation,Film Studios And Production Services (E1647),Project CRV2
emb2b_31596890,BANBURY,Oxfordshire,OX16 9BE,England South East,Senior Accountant; Finance; Senior;,Financial,Senior Staff,F:100-199,J:11M-20M,69201 - Accounting and auditing activities,69 - Legal and accounting activities,M - Professional / Scientific / Technical Activities,Accounting And Book-Keeping Services (E1585),Project CRV2
emb2b_31596892,BRISTOL,Avon,BS1 4HJ,England South West,Accounts Payable Specialist; Finance;,Financial,Partner,C:10-19,F:1.1M-2M,64203 - Activities of construction holding companies,64 - Financial service activities / except insurance / pension funding,K - Financial and Insurance Activities,Construction Contractors - General (E1344),Project CRV2
emb2b_31596894,ASHFORD,Kent,TN24 0SD,England South East,Head Of Creative; Design; Director;,Design,Director,I:500-999,O:251M-500M,##### - Unclassified,## - Unclassified,# - Unclassified,Retail Services (E3185),Project CRV2
emb2b_31596895,CIRENCESTER,Gloucestershire,GL7 6BA,England South West,Tecchnical Instructor; Education;,Academia,CxO,G:200-349,K:21M-50M,74909 - Other professional / scientific / technical activities n.e.c.,74 - Other professional / scientific / technical activities,M - Professional / Scientific / Technical Activities,Airlines (E1897),Project CRV2
emb2b_31596897,PINNER,Middlesex,HA5 4AR,England Greater London,Architecural Designer; Design;,Design,Director,A:1-5,C:201k-500k,43999 - Other specialised construction activities n.e.c.,43 - Specialised construction activities,F - Construction,Construction Contractors - General (E1344),Project CRV2
emb2b_31596899,NEWARK,Nottinghamshire,NG24 1EH,England East Midlands,Senior Architectural Designer; Design; Senior;,Design,Senior Staff,H:350-499,K:21M-50M,71111 - Architectural activities; 71112 - Urban planning and landscape architectural activities,71 - Architectural and engineering activities; technical testing and analysis; 71 - Architectural and engineering activities; technical testing and analysis,M - Professional / Scientific / Technical Activities; M - Professional / Scientific / Technical Activities,Architectural Services (E1621),Project CRV2
emb2b_31596906,BRADFORD,West Yorkshire,BD5 7RR,England North West,Head Of Bradford Research School; Education; Director;,Academia,Director,D:20-49,H:5.1M-7.5M,85200 - Primary education; 85310 - General secondary education,85 - Education; 85 - Education,P - Education; P - Education,Educational Services (E1619),Project CRV2
emb2b_31596909,BURTON ON TRENT,Staffordshire,DE14 2WH,England East Midlands,Finance Assistant; Finance;,Financial,Partner,A:1-5,H:5.1M-7.5M,46460 - Wholesale of pharmaceutical goods,46 - Wholesale trade / except of motor vehicles / motorcycles,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,Pharmaceutical Manufacturers And Distributors (E2806),Project CRV2
emb2b_31596911,SITTINGBOURNE,Kent,ME10 4EG,England South East,Assistant Head Teacher; Education;,Academia,Manager,D:20-49,H:5.1M-7.5M,85310 - General secondary education,85 - Education,P - Education,Educational Services (E1619),Project CRV2
emb2b_31596912,BRUTON,Somerset,BA10 0DF,England South West,Finance Assistant; Finance;,Financial,Partner,F:100-199,J:11M-20M,85310 - General secondary education,85 - Education,P - Education,Educational Services (E1619),Project CRV2
emb2b_31596914,ST ANDREWS,Fife,KY16 9EE,Scotland Central East,Interior Design Assistant; Design;,Design,Director,D:20-49,G:2.1M-5M,##### - Unclassified,## - Unclassified,# - Unclassified,Retail Services (E3185),Project CRV2
emb2b_31596916,WALSALL,West Midlands,WS1 1JQ,England West Midlands,Finance Assistant; Finance;,Financial,Partner,B:6-9,E:751k-1M,78200 - Temporary employment agency activities,78 - Employment activities,N - Administrative and Support Service Activities,Employment And Recruitment Agencies (E1723),Project CRV2
